asset,safe_name,asset_class,source_file,dataset_hash,rows_after_holdout_exclusion,start_date,end_date,final_holdout_start
SPY,SPY,etfs,data\processed\features\etfs\SPY_features.csv,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,3874,2010-01-06,2025-05-30,2025-07-01
QQQ,QQQ,etfs,data\processed\features\etfs\QQQ_features.csv,74f882f2bacc12776f3a34c790bab7628b2dcd7a1ba2d0e55fa9b31420eb72d2,3874,2010-01-06,2025-05-30,2025-07-01
VTI,VTI,etfs,data\processed\features\etfs\VTI_features.csv,5f06883da464075df712571574c8ba1e9b460888668d33a7c8b694e88daf7b2e,3874,2010-01-06,2025-05-30,2025-07-01
VOO,VOO,etfs,data\processed\features\etfs\VOO_features.csv,24a4296c1c75534851c0f357229739109946ea1ca5c269e44b6c6cdc8c2d2b6b,3702,2010-09-13,2025-05-30,2025-07-01
IWM,IWM,etfs,data\processed\features\etfs\IWM_features.csv,20094ff47d98933b9f09b411ef84d39e76ef41336e03d9c0c1cb670723007ac5,3874,2010-01-06,2025-05-30,2025-07-01
DIA,DIA,etfs,data\etfs\DIA.csv,c9ac36b2bb7b1eb92bba3decf2af23cc0c3eee5e04aeab104e7a4cfdc882e589,3875,2010-01-05,2025-05-30,2025-07-01
XLK,XLK,etfs,data\etfs\XLK.csv,46ce6551ae70e4b3a4bd316ad6363bfd0b61b2e7feee6a8d106d46095c17df1d,3875,2010-01-05,2025-05-30,2025-07-01
XLF,XLF,etfs,data\etfs\XLF.csv,a6c88de18d8e4cad15446c70e0f6e7ce92460bdf2b22e044bc3394185e9f0700,3875,2010-01-05,2025-05-30,2025-07-01
XLE,XLE,etfs,data\etfs\XLE.csv,2d492c537e024fc8e02a25a24862f3d5dc267cb4a76c298c08c44dfec92145a5,3875,2010-01-05,2025-05-30,2025-07-01
EURUSD=X,EURUSDX,forex,data\processed\features\forex\EURUSDX_features.csv,73c6c7a9ed9bf90648c88c6adef05f0e4ffebb1477ffceaf738f1b75d8cc4c39,4012,2010-01-05,2025-06-02,2025-07-01
GBPUSD=X,GBPUSDX,forex,data\processed\features\forex\GBPUSDX_features.csv,2bad26306c2f2d641faaed101605f6fa48f7cff5773e99283f3310b2c3162d08,4012,2010-01-05,2025-06-02,2025-07-01
JPY=X,JPYX,forex,data\processed\features\forex\JPYX_features.csv,004ccbaf3374f0d2e4a5423cf0ccaceb6676da65d32e704a001eb87e382ef674,4012,2010-01-05,2025-06-02,2025-07-01
INR=X,INRX,forex,data\processed\features\forex\INRX_features.csv,447df4e1451340960910c3255b976e4414ac0098b7ce8c64a5c9ebd0e029de30,4012,2010-01-05,2025-06-02,2025-07-01
AUDUSD=X,AUDUSDX,forex,data\forex\AUDUSDX.csv,b2e01212a47cb33f1055f9043cde57461e0d38fbc654bbc84bbafaabda7053b3,4012,2010-01-04,2025-06-02,2025-07-01
CAD=X,CADX,forex,data\forex\CADX.csv,ff2d71a2bf4d2fa1e7133cfdd1a978ad452345770379e45863893754baaad66a,4012,2010-01-04,2025-06-02,2025-07-01
AAPL,AAPL,stocks,data\processed\features\stocks\AAPL_features.csv,db848942557954090608d4a0b4580a57d614664bf54811935457ff26165b00a1,3874,2010-01-06,2025-05-30,2025-07-01
UNH,UNH,stocks,data\processed\features\stocks\UNH_features.csv,15a72d10de7e3fe0ab584e1206986735a631a60402ab5544a7d5e783f41616d8,3874,2010-01-06,2025-05-30,2025-07-01
AMZN,AMZN,stocks,data\processed\features\stocks\AMZN_features.csv,a277f43152d70af03d6ee489315b36a2b1dab588258ca530e9d846228ab7ae7c,3874,2010-01-06,2025-05-30,2025-07-01
NVDA,NVDA,stocks,data\processed\features\stocks\NVDA_features.csv,db1dde35dbf4c241c30b395c52ebe67d2a8bcc1fa3d4fa59a974a39d21b4addf,3874,2010-01-06,2025-05-30,2025-07-01
TSLA,TSLA,stocks,data\processed\features\stocks\TSLA_features.csv,391e1933f45b94cb6182db8f066ca2a491ce0741705e96f17c7e212278aa042a,3752,2010-07-01,2025-05-30,2025-07-01
